STATION_CODE,DATETIME,global_radiation,precipitation,relative_humidity,snow_level,temperature,wind_direction,wind_gust,wind_speed,UNIQUE_IDENTIFIER
T0010,2024-01-23T17:45:00+01,0.0,0.0,65.0,,3.2,326.0,0.9,0.2,211_daily_weather
T0010,2024-01-23T18:00:00+01,0.0,0.0,66.0,,2.7,354.0,1.1,0.6,212_daily_weather
T0010,2024-01-23T18:15:00+01,0.0,0.0,67.0,,2.5,29.0,1.0,0.4,213_daily_weather
T0010,2024-01-23T18:30:00+01,0.0,0.0,68.0,,2.2,,,,214_daily_weather
T0010,2024-01-23T18:45:00+01,0.0,0.0,69.0,,1.8,291.0,1.1,0.7,215_daily_weather
T0010,2024-01-23T19:00:00+01,0.0,0.0,70.0,,1.7,,,,216_daily_weather
T0010,2024-01-23T19:15:00+01,0.0,0.0,71.0,,1.6,350.0,0.9,0.5,217_daily_weather
T0010,2024-01-23T19:30:00+01,0.0,0.0,71.0,,1.4,327.0,0.7,0.3,218_daily_weather
T0010,2024-01-23T19:45:00+01,0.0,0.0,72.0,,1.4,303.0,0.8,0.4,219_daily_weather
T0010,2024-01-23T20:00:00+01,0.0,0.0,73.0,,1.4,342.0,1.0,0.7,220_daily_weather
T0010,2024-01-23T20:15:00+01,0.0,0.0,73.0,,1.2,,,,221_daily_weather
T0010,2024-01-23T20:30:00+01,0.0,0.0,73.0,,1.1,300.0,0.6,0.4,222_daily_weather
T0010,2024-01-23T20:45:00+01,0.0,0.0,73.0,,1.0,24.0,0.8,0.3,223_daily_weather
T0010,2024-01-23T21:00:00+01,0.0,0.0,73.0,,0.8,195.0,0.6,0.3,224_daily_weather
T0010,2024-01-23T21:15:00+01,0.0,0.0,74.0,,0.6,315.0,1.1,0.7,225_daily_weather
T0010,2024-01-23T21:30:00+01,0.0,0.0,73.0,,0.9,316.0,0.9,0.5,226_daily_weather
T0010,2024-01-23T21:45:00+01,0.0,0.0,74.0,,0.5,8.0,0.8,0.6,227_daily_weather
T0010,2024-01-23T22:00:00+01,0.0,0.0,74.0,,0.6,5.0,0.6,0.3,228_daily_weather
T0010,2024-01-23T22:15:00+01,0.0,0.0,74.0,,0.6,321.0,0.9,0.4,229_daily_weather
T0010,2024-01-23T22:30:00+01,0.0,0.0,74.0,,0.9,,,,230_daily_weather
T0010,2024-01-23T22:45:00+01,0.0,0.0,74.0,,1.0,262.0,0.7,0.4,231_daily_weather
T0010,2024-01-23T23:00:00+01,0.0,0.0,75.0,,0.7,48.0,1.0,0.2,232_daily_weather
T0010,2024-01-23T23:15:00+01,0.0,0.0,76.0,,0.8,35.0,1.6,0.4,233_daily_weather
T0010,2024-01-23T23:30:00+01,0.0,0.0,75.0,,0.7,90.0,0.8,0.4,234_daily_weather
T0010,2024-01-23T23:45:00+01,0.0,0.0,76.0,,0.5,357.0,1.0,0.4,235_daily_weather
T0010,2024-01-24T00:00:00+01,0.0,0.0,77.0,,0.2,319.0,1.0,0.7,236_daily_weather
T0010,2024-01-24T00:15:00+01,0.0,0.0,77.0,,0.0,20.0,1.3,0.9,237_daily_weather
T0010,2024-01-24T00:30:00+01,0.0,0.0,77.0,,0.3,55.0,0.8,0.3,238_daily_weather
T0010,2024-01-24T00:45:00+01,0.0,0.0,78.0,,-0.2,299.0,1.9,0.6,239_daily_weather
T0010,2024-01-24T01:00:00+01,0.0,0.0,80.0,,-0.4,304.0,1.9,0.8,240_daily_weather
T0010,2024-01-24T01:15:00+01,0.0,0.0,80.0,,-0.2,340.0,1.4,0.8,241_daily_weather
T0010,2024-01-24T01:30:00+01,0.0,0.0,79.0,,0.0,49.0,0.7,0.4,242_daily_weather
