SAMPLINGPOINT_LOCALID,DATETIME_BEGIN,DATETIME_END,PROPERTY,VALUE_NUMERIC,UNIT,STATIONCLASSIFICATION,AREACLASSIFICATION,ALTITUDE,STATIONCODE,STATIONNAME,LONGITUDE,LATITUDE,MUNICIPALITY,CALCULATED
SPO.IT1838A_1_UV-FL_2010-01-01_00:00:00,20231026000000,20231026000000,SO2,1.0,Âµg/m3,traffic,urban,35.0,IT1838A,VI - San Felice,1283977.9311,5707864.4885,Corso San Felice - Vicenza,True
SPO.IT1835A_1_UV-FL_2006-12-06_00:00:00,20231026000000,20231026000000,SO2,0.0,Âµg/m3,background,urban,36.0,IT1835A,BUFALOTTA,1395241.4282,5153141.4894,"VIA MONTE CANDA, ADIACENTE CIVICO 12 - Roma (RM)",True
SPO.IT1773A_1_UV-FL_2006-10-01_00:00:00,20231026000000,20231026000000,SO2,4.271429,Âµg/m3,background,rural-regional,550.0,IT1773A,Genga -Parco Gola della Rossa,1441834.535,5383488.9004,Piani di Rocchetta - Genga (AN),True
SPO.IT1751A_1_UV-FL_2006-01-01_00:00:00,20231026000000,20231026000000,SO2,5.32,Âµg/m3,industrial,suburban,400.0,IT1751A,SARISSOLA - BUSALLA,996425.2149,5554707.1066,VIA MACCIO - BUSALLA (GE),True
SPO.IT1692A_1_UV-FL_2007-06-23_00:00:00,20231026000000,20231026000000,SO2,3.074522,Âµg/m3,background,urban,122.0,IT1692A,MILANO PASCAL CITTï¿½ STUDI,1028127.8927,5697141.7316,via Pascal - Milano (MI),True
SPO.IT1586A_1_UV-FL_2003-05-30_00:00:00,20231026000000,20231026000000,SO2,9.544056,Âµg/m3,industrial,suburban,705.0,IT1586A,POTENZA - C.DA ROSSELLINO,1760153.6208,4957245.7464,PARCO ROSSELLINO - Potenza (PZ),True
SPO.IT1576A_1_UV-FL_2001-03-29_00:00:00,20231026000000,20231026000000,SO2,0.3096,Âµg/m3,background,suburban,25.0,IT1576A,CENPS7,933537.6063,4750839.2724,VIA 1Â° MAGGIO - NORD OVEST DALLA Z.I. - Portoscuso (CI),True
SPO.IT1509A_1_UV-FL_1998-10-01_00:00:00,20231026000000,20231026000000,SO2,11.80952,Âµg/m3,background,suburban,124.0,IT1509A,Cerano - Bagno,978064.1781,5686252.6293,Via Bagno 10 c/o campo sportivo,True
SPO.IT1459A_1_UV-FL_1999-02-01_00:00:00,20231026000000,20231026000000,SO2,1.917163,Âµg/m3,background,suburban,206.0,IT1459A,BUSTO ARSIZIO - ACCAM,983451.1998,5713756.6997,via Novara angolo via Liguria - Busto Arsizio (VA),True
SPO.IT1456A_1_UV-FL_2011-01-01_00:00:00,20231026000000,20231026000000,SO2,1.84,Âµg/m3,traffic,urban,2.0,IT1456A,SAN CIPRIANO - LIBERTA - LA SPEZIA,1094505.4786,5482606.33,VIALE S.CIPRIANO ANGOLO PIAZZA LIBERTA - LA SPEZIA (SP),True
SPO.IT1449A_1_UV-FL_2018-01-01_00:00:00,20231026000000,20231026000000,SO2,3.809248,Âµg/m3,background,suburban,50.0,IT1449A,a2a - San Filippo del Mela,1700009.2584,4604123.7825,"San Filippo del Mela, Via Alessandro Cocuzza s.n.",True
SPO.IT1375A_1_UV-FL_2000-12-02_00:00:00,20231026000000,20231026000000,SO2,0.5474867,Âµg/m3,background,rural,124.0,IT1375A,CENNM1,1003576.1563,4785415.7186,HOTEL GARDEN - Nuraminis (CA),True
SPO.IT1361A_1_UV-FL_1997-01-01_00:00:00,20231026000000,20231026000000,SO2,1.3,Âµg/m3,traffic,urban,20.0,IT1361A,VIA MONTEGRAPPA,1449225.036,5440671.8945,VIA MONTEGRAPPA - Fano (PU),True
SPO.IT1336A_1_UV-FL_1994-01-02_00:00:00,20231026000000,20231026000000,SO2,1.470588,Âµg/m3,traffic,urban,62.0,IT1336A,VR - Borgo Milano,1220494.6519,5691896.2366,CORSO MILANO,True
SPO.IT1204A_1_UV-FL_2009-01-09_00:00:00,20231026000000,20231026000000,SO2,4.578948,Âµg/m3,background,urban,4.0,IT1204A,CAORLE,1360942.6686,5530669.8783,VIA CAORLE - Ravenna (RA),True
SPO.IT1193A_1_UV-FL_1998-12-02_00:00:00,20231026000000,20231026000000,SO2,4.079389,Âµg/m3,industrial,suburban,561.0,IT1193A,MELFI,1741032.9398,5009996.7003,AREA AIAS - Melfi (PZ),True
SPO.IT1192A_1_UV-FL_1998-10-16_00:00:00,20231026000000,20231026000000,SO2,0.76,Âµg/m3,industrial,suburban,350.0,IT1192A,CARCARE,922850.8238,5522153.0034,VIA NAZIONALE - CARCARE (SV),True
SPO.IT1153A_1_UV-FL_1997-12-01_00:00:00,20231026000000,20231026000000,SO2,0.7447363,Âµg/m3,traffic,urban,45.0,IT1153A,CREMONA - P.ZZA CADORNA,1115050.2699,5642448.9417,P.ZZA CADORNA - Cremona (CR),True
